name,type,start_time,duration,"mosi","miso"
"SPI","error",0.856725208,0.000352167,,
"SPI","enable",1.549029333,0.000000042,,
"SPI","result",1.549029833,0.000007542,0x30,0x2F
"SPI","disable",1.549038333,0.000000042,,
"SPI","enable",1.556106958,0.000000042,,
"SPI","result",1.556107458,0.000007542,0xB1,0x00
"SPI","result",1.556115458,0.000007542,0x00,0x0F
"SPI","disable",1.556124,0.000000042,,
"SPI","enable",1.5562065,0.000000042,,
"SPI","result",1.556207,0.000007542,0x00,0x0F
"SPI","result",1.556215,0.000007542,0x06,0x0F
"SPI","disable",1.5562235,0.000000042,,
"SPI","enable",1.556261083,0.000000042,,
"SPI","result",1.556261583,0.000007542,0x01,0x0F
"SPI","result",1.556269583,0.000007542,0x2E,0x0F
"SPI","disable",1.556278125,0.000000042,,
"SPI","enable",1.556313083,0.000000042,,
"SPI","result",1.556313583,0.000007583,0x02,0x0F
"SPI","result",1.556321583,0.000007583,0x00,0x0F
"SPI","disable",1.556330125,0.000000042,,
"SPI","enable",1.556365125,0.000000042,,
"SPI","result",1.556365625,0.000007542,0x03,0x0F
"SPI","result",1.556373625,0.000007542,0x07,0x0F
"SPI","disable",1.556382125,0.000000042,,
"SPI","enable",1.556417125,0.000000042,,
"SPI","result",1.556417625,0.000007542,0x04,0x0F
"SPI","result",1.556425625,0.000007542,0x3D,0x0F
"SPI","disable",1.556434125,0.000000042,,
"SPI","enable",1.556469167,0.000000042,,
"SPI","result",1.556469667,0.000007542,0x05,0x0F
"SPI","result",1.556477667,0.000007542,0x54,0x0F
"SPI","disable",1.556486167,0.000000042,,
"SPI","enable",1.556521167,0.000000042,,
"SPI","result",1.556521667,0.000007542,0x06,0x0F
"SPI","result",1.556529667,0.000007542,0xFF,0x0F
"SPI","disable",1.556538167,0.000000042,,
"SPI","enable",1.556573167,0.000000042,,
"SPI","result",1.556573667,0.000007542,0x07,0x0F
"SPI","result",1.556581667,0.000007542,0x00,0x0F
"SPI","disable",1.556590208,0.000000042,,
"SPI","enable",1.556625167,0.000000042,,
"SPI","result",1.556625667,0.000007542,0x08,0x0F
"SPI","result",1.556633667,0.000007542,0x00,0x0F
"SPI","disable",1.556642208,0.000000042,,
"SPI","enable",1.556677208,0.000000042,,
"SPI","result",1.556677708,0.000007542,0x09,0x0F
"SPI","result",1.556685708,0.000007542,0x00,0x0F
"SPI","disable",1.556694208,0.000000042,,
"SPI","enable",1.556729208,0.000000042,,
"SPI","result",1.556729708,0.000007542,0x0B,0x0F
"SPI","result",1.556737708,0.000007542,0x08,0x0F
"SPI","disable",1.556746208,0.000000042,,
"SPI","enable",1.556781208,0.000000042,,
"SPI","result",1.556781708,0.000007542,0x0C,0x0F
"SPI","result",1.556789708,0.000007542,0x00,0x0F
"SPI","disable",1.556798208,0.000000042,,
"SPI","enable",1.55683325,0.000000042,,
"SPI","result",1.55683375,0.000007542,0x0D,0x0F
"SPI","result",1.55684175,0.000007542,0x21,0x0F
"SPI","disable",1.55685025,0.000000042,,
"SPI","enable",1.55688525,0.000000042,,
"SPI","result",1.55688575,0.000007542,0x0E,0x0F
"SPI","result",1.55689375,0.000007542,0x6B,0x0F
"SPI","disable",1.556902292,0.000000042,,
"SPI","enable",1.55693725,0.000000042,,
"SPI","result",1.55693775,0.000007542,0x0F,0x0F
"SPI","result",1.55694575,0.000007542,0xD0,0x0F
"SPI","disable",1.556954292,0.000000042,,
"SPI","enable",1.55698925,0.000000042,,
"SPI","result",1.55698975,0.000007542,0x10,0x0F
"SPI","result",1.55699775,0.000007542,0x5C,0x0F
"SPI","disable",1.557006292,0.000000042,,
"SPI","enable",1.557041292,0.000000042,,
"SPI","result",1.557041792,0.000007542,0x11,0x0F
"SPI","result",1.557049792,0.000007542,0x0F,0x0F
"SPI","disable",1.557058292,0.000000042,,
"SPI","enable",1.557093292,0.000000042,,
"SPI","result",1.557093792,0.000007542,0x12,0x0F
"SPI","result",1.557101792,0.000007542,0x05,0x0F
"SPI","disable",1.557110292,0.000000042,,
"SPI","enable",1.557145292,0.000000042,,
"SPI","result",1.557145792,0.000007542,0x13,0x0F
"SPI","result",1.557153792,0.000007542,0x22,0x0F
"SPI","disable",1.557162292,0.000000042,,
"SPI","enable",1.557197333,0.000000042,,
"SPI","result",1.557197833,0.000007542,0x14,0x0F
"SPI","result",1.557205833,0.000007542,0xF8,0x0F
"SPI","disable",1.557214333,0.000000042,,
"SPI","enable",1.557249333,0.000000042,,
"SPI","result",1.557249833,0.000007542,0x15,0x0F
"SPI","result",1.557257833,0.000007542,0x50,0x0F
"SPI","disable",1.557266375,0.000000042,,
"SPI","enable",1.557301333,0.000000042,,
"SPI","result",1.557301833,0.000007542,0x16,0x0F
"SPI","result",1.557309833,0.000007542,0x07,0x0F
"SPI","disable",1.557318375,0.000000042,,
"SPI","enable",1.557353375,0.000000042,,
"SPI","result",1.557353833,0.000007583,0x17,0x0F
"SPI","result",1.557361875,0.000007542,0x30,0x0F
"SPI","disable",1.557370375,0.000000042,,
"SPI","enable",1.557405375,0.000000042,,
"SPI","result",1.557405875,0.000007542,0x18,0x0F
"SPI","result",1.557413875,0.000007542,0x18,0x0F
"SPI","disable",1.557422375,0.000000042,,
"SPI","enable",1.557457375,0.000000042,,
"SPI","result",1.557457875,0.000007542,0x19,0x0F
"SPI","result",1.557465875,0.000007542,0x16,0x0F
"SPI","disable",1.557474375,0.000000042,,
"SPI","enable",1.557509375,0.000000042,,
"SPI","result",1.557509875,0.000007542,0x1A,0x0F
"SPI","result",1.557517875,0.000007542,0x6C,0x0F
"SPI","disable",1.557526375,0.000000042,,
"SPI","enable",1.557561417,0.000000042,,
"SPI","result",1.557561917,0.000007542,0x1B,0x0F
"SPI","result",1.557569917,0.000007542,0x43,0x0F
"SPI","disable",1.557578417,0.000000042,,
"SPI","enable",1.557613417,0.000000042,,
"SPI","result",1.557613917,0.000007542,0x1C,0x0F
"SPI","result",1.557621917,0.000007542,0x40,0x0F
"SPI","disable",1.557630458,0.000000042,,
"SPI","enable",1.557665417,0.000000042,,
"SPI","result",1.557665917,0.000007542,0x1D,0x0F
"SPI","result",1.557673917,0.000007542,0x91,0x0F
"SPI","disable",1.557682458,0.000000042,,
"SPI","enable",1.557717458,0.000000042,,
"SPI","result",1.557717958,0.000007542,0x21,0x0F
"SPI","result",1.557725958,0.000007542,0x56,0x0F
"SPI","disable",1.557734458,0.000000042,,
"SPI","enable",1.557769458,0.000000042,,
"SPI","result",1.557769958,0.000007542,0x22,0x0F
"SPI","result",1.557777958,0.000007542,0x10,0x0F
"SPI","disable",1.557786458,0.000000042,,
"SPI","enable",1.557821458,0.000000042,,
"SPI","result",1.557821958,0.000007542,0x23,0x0F
"SPI","result",1.557829958,0.000007542,0xE9,0x0F
"SPI","disable",1.557838458,0.000000042,,
"SPI","enable",1.557873458,0.000000042,,
"SPI","result",1.557873958,0.000007542,0x24,0x0F
"SPI","result",1.557881958,0.000007542,0x0A,0x0F
"SPI","disable",1.5578905,0.000000042,,
"SPI","enable",1.5579255,0.000000042,,
"SPI","result",1.557926,0.000007542,0x25,0x0F
"SPI","result",1.557934,0.000007542,0x00,0x0F
"SPI","disable",1.5579425,0.000000042,,
"SPI","enable",1.5579775,0.000000042,,
"SPI","result",1.557978,0.000007542,0x26,0x0F
"SPI","result",1.557986,0.000007542,0x11,0x0F
"SPI","disable",1.557994542,0.000000042,,
"SPI","enable",1.5580295,0.000000042,,
"SPI","result",1.55803,0.000007583,0x2C,0x0F
"SPI","result",1.558038,0.000007583,0x88,0x0F
"SPI","disable",1.558046542,0.000000042,,
"SPI","enable",1.558081542,0.000000042,,
"SPI","result",1.558082042,0.000007542,0x2D,0x0F
"SPI","result",1.558090042,0.000007542,0x31,0x0F
"SPI","disable",1.558098542,0.000000042,,
"SPI","enable",1.558133542,0.000000042,,
"SPI","result",1.558134042,0.000007542,0x2E,0x0F
"SPI","result",1.558142042,0.000007542,0x0B,0x0F
"SPI","disable",1.558150542,0.000000042,,
"SPI","enable",1.558186542,0.000000042,,
"SPI","result",1.558187042,0.000007542,0x33,0x0F
"SPI","disable",1.558195542,0.000000042,,
"SPI","enable",1.558244708,0.000000042,,
"SPI","result",1.558245208,0.000007542,0x8B,0x40
"SPI","result",1.558253208,0.000007542,0x00,0x08
"SPI","disable",1.558261708,0.000000042,,
"SPI","enable",1.558300125,0.000000042,,
"SPI","result",1.558300625,0.000007542,0x8C,0x40
"SPI","result",1.558308625,0.000007542,0x00,0x00
"SPI","disable",1.558317125,0.000000042,,
"SPI","enable",1.558356125,0.000000042,,
"SPI","result",1.558356625,0.000007542,0x8D,0x40
"SPI","result",1.558364625,0.000007542,0x00,0x21
"SPI","disable",1.558373167,0.000000042,,
"SPI","enable",1.558411542,0.000000042,,
"SPI","result",1.558412042,0.000007542,0x8E,0x40
"SPI","result",1.558420042,0.000007542,0x00,0x6B
"SPI","disable",1.558428542,0.000000042,,
"SPI","enable",1.558466917,0.000000042,,
"SPI","result",1.558467417,0.000007542,0x8F,0x40
"SPI","result",1.558475417,0.000007542,0x00,0xD0
"SPI","disable",1.558483958,0.000000042,,
"SPI","enable",1.558522333,0.000000042,,
"SPI","result",1.558522833,0.000007542,0x90,0x40
"SPI","result",1.558530833,0.000007542,0x00,0x5C
"SPI","disable",1.558539333,0.000000042,,
"SPI","enable",1.558578333,0.000000042,,
"SPI","result",1.558578833,0.000007542,0x91,0x40
"SPI","result",1.558586833,0.000007542,0x00,0x0F
"SPI","disable",1.558595375,0.000000042,,
"SPI","enable",1.55863375,0.000000042,,
"SPI","result",1.55863425,0.000007542,0x92,0x40
"SPI","result",1.55864225,0.000007542,0x00,0x05
"SPI","disable",1.55865075,0.000000042,,
"SPI","enable",1.558689167,0.000000042,,
"SPI","result",1.558689667,0.000007542,0x93,0x40
"SPI","result",1.558697667,0.000007542,0x00,0x22
"SPI","disable",1.558706167,0.000000042,,
"SPI","enable",1.558744542,0.000000042,,
"SPI","result",1.558745042,0.000007542,0x94,0x40
"SPI","result",1.558753042,0.000007542,0x00,0xF8
"SPI","disable",1.558761542,0.000000042,,
"SPI","enable",1.558800583,0.000000042,,
"SPI","result",1.558801083,0.000007542,0x95,0x40
"SPI","result",1.558809083,0.000007542,0x00,0x50
"SPI","disable",1.558817583,0.000000042,,
"SPI","enable",1.558855958,0.000000042,,
"SPI","result",1.558856458,0.000007542,0xA3,0x40
"SPI","result",1.558864458,0.000007542,0x00,0xE9
"SPI","disable",1.558872958,0.000000042,,
"SPI","enable",1.558911375,0.000000042,,
"SPI","result",1.558911875,0.000007542,0xA4,0x40
"SPI","result",1.558919875,0.000007542,0x00,0x2E
"SPI","disable",1.558928375,0.000000042,,
"SPI","enable",1.558967375,0.000000042,,
"SPI","result",1.558967875,0.000007542,0xA5,0x00
"SPI","result",1.558975875,0.000007542,0x00,0x17
"SPI","disable",1.558984417,0.000000042,,
"SPI","enable",1.559022792,0.000000042,,
"SPI","result",1.559023292,0.000007542,0xA6,0x00
"SPI","result",1.559031292,0.000007542,0x00,0x11
"SPI","disable",1.559039792,0.000000042,,
"SPI","enable",1.575810625,0.000000042,,
"SPI","result",1.575811125,0.000007542,0x3A,0x0F
"SPI","disable",1.575819625,0.000000042,,
"SPI","enable",1.575856792,0.000000042,,
"SPI","result",1.575857292,0.000007542,0x34,0x0F
"SPI","disable",1.575865792,0.000000042,,
"SPI","enable",1.580708875,0.000000042,,
"SPI","result",1.580709375,0.000007542,0xB5,0x10
"SPI","result",1.580717375,0.000007542,0x00,0x5F
"SPI","disable",1.580725875,0.000000042,,
"SPI","enable",1.587083875,0.000000042,,
"SPI","result",1.587084375,0.000007542,0xB5,0x20
"SPI","result",1.587092375,0.000007542,0x00,0x2F
"SPI","disable",1.587100875,0.000000042,,
"SPI","enable",1.593244958,0.000000042,,
"SPI","result",1.593245458,0.000007542,0xB5,0x20
"SPI","result",1.593253458,0.000007542,0x00,0x2F
"SPI","disable",1.593262,0.000000042,,
"SPI","enable",1.600063833,0.000000042,,
"SPI","result",1.600064333,0.000007542,0xB5,0x20
"SPI","result",1.600072333,0.000007542,0x00,0x2F
"SPI","disable",1.600080833,0.000000042,,
"SPI","enable",1.605590625,0.000000042,,
"SPI","result",1.605591125,0.000007542,0xB5,0x20
"SPI","result",1.605599125,0.000007542,0x00,0x2F
"SPI","disable",1.605607625,0.000000042,,
"SPI","enable",1.61173725,0.000000042,,
"SPI","result",1.61173775,0.000007542,0xB5,0x20
"SPI","result",1.61174575,0.000007542,0x00,0x2F
"SPI","disable",1.61175425,0.000000042,,
"SPI","enable",1.61789775,0.000000042,,
"SPI","result",1.61789825,0.000007542,0xB5,0x20
"SPI","result",1.61790625,0.000007542,0x00,0x2F
"SPI","disable",1.61791475,0.000000042,,
"SPI","enable",1.624061083,0.000000042,,
"SPI","result",1.624061583,0.000007542,0xB5,0x20
"SPI","result",1.624069583,0.000007542,0x00,0x2F
"SPI","disable",1.624078125,0.000000042,,
"SPI","enable",1.636108667,0.000000042,,
"SPI","result",1.636109167,0.000007542,0x00,0x2F
"SPI","result",1.636117167,0.000007542,0x06,0x2F
"SPI","disable",1.636125667,0.000000042,,
"SPI","enable",1.636163292,0.000000042,,
"SPI","result",1.636163792,0.000007542,0x01,0x2F
"SPI","result",1.636171792,0.000007542,0x2E,0x2F
"SPI","disable",1.636180292,0.000000042,,
"SPI","enable",1.636215292,0.000000042,,
"SPI","result",1.636215792,0.000007542,0x02,0x2F
"SPI","result",1.636223792,0.000007542,0x00,0x2F
"SPI","disable",1.636232292,0.000000042,,
"SPI","enable",1.636267292,0.000000042,,
"SPI","result",1.636267792,0.000007542,0x03,0x2F
